Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,No,92694,20652,388,360,1,Rural,Y
Female,Yes,3+,Not Graduate,No,63016,4748,428,240,1,Rural,Y
Male,No,0,Graduate,No,27400,21233,127,360,1,Urban,Y
Male,No,2,Graduate,No,137858,9435,459,180,1,Rural,Y
Male,Yes,1,Graduate,No,62642,3709,111,240,0,Urban,Y
Male,No,0,Graduate,No,35151,58425,181,360,1,Rural,Y
Male,Yes,1,Not Graduate,No,71407,30355,138,180,1,Semiurban,Y
Male,Yes,0,Graduate,No,86690,55771,286,300,0,Rural,Y
Male,Yes,2,Graduate,No,24499,57799,91,300,1,Rural,Y
Male,Yes,2,Not Graduate,Yes,26295,13116,138,480,1,Urban,Y
Female,Yes,1,Not Graduate,Yes,140885,25470,451,240,0,Rural,N
Male,No,2,Not Graduate,No,146071,42344,345,300,1,Semiurban,Y
Male,Yes,3+,Graduate,No,79040,42918,377,240,1,Urban,Y
Male,Yes,0,Graduate,No,32183,52224,344,300,1,Urban,Y
Male,No,2,Not Graduate,No,49299,39298,153,480,0,Rural,N
Female,No,3+,Not Graduate,No,32874,42956,63,360,1,Urban,Y
Female,Yes,1,Not Graduate,No,136336,14683,337,480,1,Urban,Y
Female,No,3+,Not Graduate,Yes,52711,504,228,180,1,Urban,Y
Female,No,1,Not Graduate,No,25539,33982,174,300,1,Urban,Y
Female,Yes,1,Not Graduate,No,127941,34299,471,180,0,Urban,N
Female,Yes,0,Graduate,Yes,73351,28016,402,180,1,Urban,Y
Female,No,0,Graduate,No,81267,23960,72,240,0,Semiurban,Y
Female,Yes,3+,Graduate,No,143133,33591,112,300,0,Rural,Y
Female,Yes,0,Not Graduate,No,68354,17312,192,180,1,Semiurban,Y
Female,No,0,Not Graduate,No,146063,37797,202,360,1,Urban,Y
Female,Yes,0,Not Graduate,No,22557,46196,194,180,1,Urban,Y
Female,Yes,3+,Not Graduate,No,58360,49285,274,360,1,Rural,Y
Female,Yes,2,Not Graduate,No,102018,2105,499,240,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,22200,36395,358,180,1,Rural,N
Female,Yes,0,Graduate,No,132476,45740,153,480,1,Semiurban,Y
Female,No,3+,Graduate,Yes,88497,22700,153,240,1,Urban,Y
Male,No,2,Not Graduate,No,66975,34620,484,360,1,Rural,Y
Female,Yes,0,Graduate,No,41357,37678,88,240,0,Rural,N
Male,No,1,Not Graduate,No,139121,20559,484,180,1,Urban,Y
Female,Yes,3+,Graduate,No,97505,27509,247,300,1,Rural,Y
Female,Yes,0,Not Graduate,No,22869,27860,183,300,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,146114,11003,116,360,0,Semiurban,N
Female,Yes,1,Graduate,No,81135,21732,440,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,70108,25826,228,300,1,Semiurban,Y
Male,No,3+,Not Graduate,Yes,132296,30354,91,360,1,Urban,Y
Male,No,3+,Not Graduate,Yes,114179,13843,497,240,1,Rural,Y
Female,Yes,1,Graduate,No,110272,44472,64,480,0,Semiurban,Y
Female,No,3+,Graduate,No,58467,48529,160,480,1,Urban,Y
Female,Yes,1,Not Graduate,No,43328,6190,206,240,1,Rural,Y
Male,No,0,Graduate,No,139181,17640,338,480,1,Rural,Y
Male,Yes,1,Not Graduate,No,111412,52528,280,180,1,Urban,Y
Female,No,1,Not Graduate,No,106831,38413,460,240,1,Urban,Y
Female,Yes,2,Not Graduate,No,23987,52638,469,360,1,Semiurban,N
Female,Yes,1,Not Graduate,No,78871,52736,206,240,1,Rural,Y
Female,No,1,Graduate,No,42399,42356,87,300,1,Rural,Y
Female,No,2,Graduate,No,148391,44597,490,360,1,Urban,Y
Male,Yes,3+,Graduate,No,66214,40821,146,300,1,Rural,Y
Male,No,2,Graduate,No,119522,3330,460,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,106416,19087,488,480,0,Rural,N
Female,No,2,Graduate,Yes,90271,41430,338,240,1,Urban,Y
Male,No,0,Graduate,Yes,64064,24504,303,180,1,Urban,Y
Male,Yes,3+,Not Graduate,No,145615,7114,245,360,1,Semiurban,Y
Male,No,2,Graduate,No,90091,13323,135,360,1,Semiurban,Y
Male,No,2,Graduate,No,127450,34121,371,300,1,Rural,Y
Male,Yes,3+,Not Graduate,No,60818,10975,59,480,1,Rural,Y
Female,No,0,Graduate,No,65525,11023,54,300,1,Urban,Y
Male,Yes,2,Graduate,No,39830,21447,172,300,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,37429,24933,379,480,1,Semiurban,N
Female,Yes,2,Graduate,Yes,26893,23959,402,180,1,Semiurban,N
Female,Yes,1,Graduate,No,136381,667,167,300,1,Rural,Y
Female,Yes,2,Graduate,No,99909,53620,343,300,1,Semiurban,Y
Female,No,3+,Not Graduate,No,67333,29703,446,360,0,Urban,N
Male,Yes,3+,Graduate,Yes,23436,9337,208,480,0,Urban,N
Male,Yes,0,Graduate,Yes,94290,46427,352,240,1,Rural,Y
Female,No,2,Not Graduate,No,96213,55971,277,180,1,Rural,Y
Female,No,0,Graduate,No,25895,36487,414,180,1,Semiurban,N
Female,No,0,Not Graduate,No,39738,19129,265,480,1,Rural,Y
Male,Yes,1,Not Graduate,No,50746,40251,485,360,0,Urban,N
Female,Yes,1,Graduate,No,69377,31921,233,360,0,Semiurban,Y
Male,Yes,3+,Not Graduate,No,68404,33307,64,480,1,Urban,Y
Female,No,0,Not Graduate,No,74045,27355,206,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,117888,37732,185,180,1,Rural,Y
Female,No,2,Not Graduate,No,149307,4835,310,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,59790,20159,206,240,0,Semiurban,N
Female,No,0,Graduate,No,127455,38810,96,480,1,Urban,Y
Male,Yes,2,Graduate,Yes,25600,47605,373,300,1,Urban,Y
Male,Yes,2,Graduate,Yes,114660,56254,381,300,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,113179,40080,222,240,1,Rural,Y
Male,No,3+,Graduate,Yes,60764,38088,179,240,1,Rural,Y
Male,No,2,Not Graduate,No,94543,13216,460,360,0,Urban,N
Male,Yes,3+,Not Graduate,No,65714,55284,144,240,0,Rural,N
Male,Yes,2,Not Graduate,No,76835,57043,164,240,1,Urban,Y
Female,Yes,0,Not Graduate,No,122946,59852,292,300,1,Rural,Y
Female,No,0,Not Graduate,Yes,148191,35547,469,360,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,129616,31471,341,240,1,Urban,Y
Female,Yes,0,Not Graduate,No,125983,17308,331,240,1,Urban,Y
Female,Yes,2,Graduate,No,93744,27532,348,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,76491,34349,332,480,1,Urban,Y
Male,No,1,Not Graduate,Yes,144123,56866,118,360,0,Rural,N
Male,No,3+,Not Graduate,No,38589,52476,197,300,1,Rural,Y
Male,Yes,2,Graduate,No,63484,45445,60,480,0,Urban,Y
Male,Yes,0,Not Graduate,No,102989,5713,303,180,1,Rural,Y
Female,No,1,Graduate,No,56212,56178,379,360,1,Urban,Y
Female,No,2,Graduate,No,63525,49407,409,300,0,Semiurban,N
Female,Yes,1,Graduate,No,67202,4804,87,480,1,Urban,Y
Female,No,1,Not Graduate,No,52635,50990,183,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,83208,10136,249,240,1,Rural,Y
Male,Yes,2,Graduate,No,53828,9,72,360,1,Semiurban,Y
Male,No,3+,Graduate,No,38711,19255,352,180,0,Rural,N
Female,No,1,Graduate,No,23420,58141,395,360,1,Urban,Y
Male,Yes,1,Graduate,No,116752,23793,351,480,1,Rural,Y
Female,Yes,3+,Graduate,Yes,20301,56570,412,480,0,Urban,N
Male,No,2,Not Graduate,No,65236,29548,445,360,1,Urban,Y
Male,Yes,1,Graduate,No,135294,37892,267,480,0,Semiurban,Y
Female,No,1,Not Graduate,No,137858,1015,190,240,0,Semiurban,N
Male,Yes,1,Graduate,No,86235,59168,153,360,1,Semiurban,Y
Male,No,2,Not Graduate,No,74240,27712,495,240,0,Semiurban,N
Female,Yes,2,Not Graduate,No,144019,34961,259,240,1,Rural,Y
Male,No,3+,Not Graduate,Yes,85726,8415,160,300,1,Rural,Y
Female,No,2,Not Graduate,No,30492,46318,153,360,1,Rural,Y
